제목,언론사,링크
'스타마케팅'에 열 올리는 은행권…국민은행 새 모델에 추영우,이투데이,https://www.etoday.co.kr/news/view/2455152
"추영우, '36만' 표로 정상 올라…男배우 인기 투표 돌풍",스마트투데이,https://www.smarttoday.co.kr/news/articleView.html?idxno=76036
추영우와 찰칵!···4컷 포토 프레임 출시,스포츠경향,https://sports.khan.co.kr/article/202503141450003?pt=nv
"추영우, 차준환, 이준혁, 변우석에겐 공통점이 있다",GQ,https://www.gqkorea.co.kr/2025/03/19/%ec%b6%94%ec%98%81%ec%9a%b0-%ec%b0%a8%ec%a4%80%ed%99%98-%ec%9d%b4%ec%a4%80%ed%98%81-%eb%b3%80%ec%9a%b0%ec%84%9d%ec%97%90%ea%b2%90-%ea%b3%b5%ed%86%b5%ec%a0%90%ec%9d%b4-%ec%9e%88%eb%8b%a4/?utm_source=naver&utm_medium=partnership
[Y랭킹] 패션 베스트 김혜수 vs. 배드 추영우·강하늘,YTN,https://star.ytn.co.kr/_sn/0117_202503160800013645
"추영우, 1인 8색 '남친미'",OSEN,http://www.osen.co.kr/article/G1112521739
"추영우 ""주지훈 선배님의 연기와 인간적 면모 모두 존경""[인터뷰]",스포츠한국,https://sports.hankooki.com/news/articleView.html?idxno=6892383
"배우 추영우, 직접 그린 사탕·꽃으로 팬사랑 담은 화이트데이 포토 프...",잡포스트,https://www.job-post.co.kr/news/articleView.html?idxno=136465
"차주영, 3월 드라마 배우 브랜드평판 1위..2위 추영우·3위 서강준",스타뉴스,https://www.starnewskorea.com/stview.php?no=2025031307050067117
"차주영, 드라마 배우 브랜드평판 1위...2위 추영우 3위 서강준",폴리뉴스,https://www.polinews.co.kr/news/articleView.html?idxno=685149
